"","Both.sexes","Male","Female"
"Afghanistan",19.7,17.1,22.2
"Albania",58.7,64.9,52.8
"Algeria",60.7,56.7,64.8
"Andorra",68.1,74.5,61.9
"Angola",23.9,17.2,30.4
"Antigua and Barbuda",48.4,40.2,56.3
"Argentina",63.4,66.4,60.5
"Armenia",55.7,54.6,56.9
"Australia",67.2,73.3,61.3
"Austria",58.1,65.3,51.3
"Azerbaijan",53.5,52.4,54.4
"Bahamas",65.2,60.8,69.3
"Bahrain",64.4,62.9,67.2
"Bangladesh",19,17.3,20.8
"Barbados",55.3,46.8,63.6
"Belarus",62.9,65.2,61.1
"Belgium",64.1,71.4,57.2
"Belize",51.8,45.4,58
"Benin",26.3,19.1,33.3
"Bhutan",25.4,24.3,26.7
"Bolivia (Plurinational State of)",53.2,49.2,57.1
"Bosnia and Herzegovina",56.4,62,51.2
"Botswana",38.4,26.5,50.7
"Brazil",56.9,57.6,56.2
"Brunei Darussalam",42.2,42,42.5
"Bulgaria",66.3,73,60.2
"Burkina Faso",20,14,25.6
"Burundi",19.3,12.4,25.9
"Cabo Verde",32.1,25.5,38.8
"Cambodia",20.3,17.4,23
"Cameroon",29.7,22.2,37.1
"Canada",67.5,73,62.3
"Central African Republic",23.2,16.5,29.6
"Chad",19.5,13.8,25.2
"Chile",64.4,65.7,63.2
"China",33.8,35.8,31.8
"Colombia",58.6,55.7,61.3
"Comoros",24.8,16.9,32.6
"Congo",28.1,22.2,33.9
"Cook Islands",83.9,82.6,85.1
"Costa Rica",61.5,59.7,63.3
"Côte d'Ivoire",28.7,22.4,35.2
"Croatia",64.3,70,59.1
"Cuba",62.2,57.6,66.7
"Cyprus",60.8,66.6,54.8
"Czechia",66.7,73.3,60.3
"Democratic People's Republic of Korea",33.5,34.8,32.3
"Democratic Republic of the Congo",22.1,16,28.1
"Denmark",59.2,67,51.6
"Djibouti",35.7,30.1,41.2
"Dominica",60.7,54.8,66.4
"Dominican Republic",59.9,55.6,64
"Ecuador",54.9,51.4,58.3
"Egypt",61.9,55.6,68.1
"El Salvador",56.8,53,60
"Equatorial Guinea",25.1,18,32.8
"Eritrea",19.2,13.2,24.8
"Estonia",60.4,62.8,58.4
"Eswatini",33,18.8,46.5
"Ethiopia",18.1,11.8,24.3
"Fiji",63.4,59.4,67.5
"Finland",62.5,69.3,56.1
"France",62.9,70,56.5
"Gabon",36.9,31,42.8
"Gambia",27.9,21.6,33.9
"Georgia",57.2,56.6,57.7
"Germany",62.8,69.7,56.2
"Ghana",29.3,20.3,37.9
"Greece",67.1,72.4,62
