"country_code","country","air_year","air_passengers","econ_worldrank","econ_regionrank","econ_2019score","econ_propertyrights","econ_judical","econ_gov_integrity","econ_taxburden","econ_govspending","econ_fiscalhealth","econ_businessfreedom","econ_laborfreedom","econ_monetaryfreedom","econ_tradefreedom","econ_investmentfreedom","econ_financialfreedom","econ_tariffrate","econ_incometaxrate","econ_corporatetaxrate","econ_taxburdengdp","econ_govexpendgdp","econ_popmills","econ_gdpbills","econ_gdpgrowthrate","econ_yeargdpgrowthrate","econ_gdppercapita","econ_unemployment","econ_inflation","econ_fdiflowmills","econ_publicdeptofgdp","hospbeds_year","hospbeds_per1k","docs_year","docs_per1k","pollution_960","pollution_961","pollution_962","pollution_963","pollution_964","pollution_965","pollution_966","pollution_967","pollution_968","pollution_969","pollution_970","pollution_971","pollution_972","pollution_973","pollution_974","pollution_975","pollution_976","pollution_977","pollution_978","pollution_979","pollution_980","pollution_981","pollution_982","pollution_983","pollution_984","pollution_985","pollution_986","pollution_987","pollution_988","pollution_989","pollution_990","pollution_991","pollution_992","pollution_993","pollution_994","pollution_995","pollution_996","pollution_997","pollution_998","pollution_999","pollution_000","pollution_001","pollution_002","pollution_003","pollution_004","pollution_005","pollution_006","pollution_007","pollution_008","pollution_009","pollution_010","pollution_011","pollution_012","pollution_013","pollution_014","pollution_015","pollution_016","pollution_017","pollution_018","pollution_019","pop65above_year","pop65above_percent","prisoncount_year","prison_count","prisonrate_year","prison_rate","rail_year","rail_millionpassengerkm","sars_cases","sars_deaths","sars_recovered"
"ABW","Aruba",2018,274280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,13.55094714,"2014","170","2014","163.8",NA,NA,0,0,0
"AFG","Afghanistan",2018,1722612.61,"152","39","51.5","19.6","29.6","25.2","91.7","80.3","99.3","49.2","60.4","76.7","66.0","10","10","7.0","20.0","20.0","5.0","25.6","35.5","$69.6 ","2.5","2.9","$1,958","8.8","5.0","53.9","7.3",2015,0.5,2015,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,2.58492694,"2017","30000","2017","84.4",NA,NA,0,0,0
"AGO","Angola",2018,1516628,"156","33","50.6","35.9","26.6","20.5","83.9","80.7","58.2","55.7","58.8","55.4","61.2","30","40","9.4","17.0","30.0","20.6","25.3","28.2","$190.3 ","0.7","2.9","$6,753","8.2","31.7","-2,254.5","65.3",2005,0.8,2005,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,2.216373648,"2016","24000","2016","83.2",NA,NA,0,0,0
"ALB","Albania",2018,303137,"52","27","66.5","54.8","30.6","40.4","86.3","73.9","80.6","69.3","52.7","81.5","87.8","70","70","1.1","23.0","15.0","24.9","29.5","2.9","$36.0 ","3.9","2.5","$12,507","13.9","2.0","1,119.1","71.2",2013,2.9,2013,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,13.74473591,"2017","5674","2017","193.7",2009,32,0,0,0
"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,2.5,2009,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017","52","2017","67.5",NA,NA,0,0,0
"ARE","United Arab Emirates",2018,95533069,"9","1","77.6","81.8","87.1","78.8","99.2","68.8","88.9","79.9","81.1","80.9","84.4","40","60","2.8","0.0","0.0","8.9","32.3","10.1","$686.8 ","0.5","3.3","$67,741","1.7","2.0","10,354.2","19.5",2013,1.2,2013,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1.085000985,"2014","9826","2014","108.3",NA,NA,0,0,0
"ARG","Argentina",2018,18081937,"148","26","52.2","47.8","44.5","33.5","69.3","49.5","33.0","56.4","46.9","60.2","70.0","55","60","7.5","35.0","30.0","30.8","41.0","44.1","$920.2 ","2.9","0.7","$20,876","8.7","25.7","11,857.0","52.6",2014,5,2014,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,11.11778888,"2017","85283","2017","192.6",NA,NA,0,0,0
"ARM","Armenia",2014,0,"47","24","67.7","57.2","46.3","38.6","84.7","79.0","53.0","78.3","71.4","77.8","80.8","75","70","2.1","26.0","20.0","21.3","26.4","3.0","$28.3 ","7.5","3.6","$9,456","18.2","0.9","245.7","53.5",2015,4.2,2015,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,11.25381766,"2017","3536","2017","120.7",2017,24.8,0,0,0
"ASM","American Samoa",2014,76944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017","193","2017","344.6",NA,NA,0,0,0
"ATG","Antigua and Barbuda",2018,580174.1568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,3.8,2014,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,8.79982552,"2017","305","2017","299",NA,NA,0,0,0
