Date,ISO,Country,Scale,Date,Note
16/02/2020,CHN,China,Localized,16/02/2020,
16/02/2020,CHN,"China, Hong Kong Special Administrative Region",Localized,16/02/2020,
16/02/2020,CHN,"China, Macao Special Administrative Region",Localized,16/02/2020,
17/02/2020,CHN,China,Localized,17/02/2020,
17/02/2020,CHN,"China, Hong Kong Special Administrative Region",Localized,17/02/2020,
17/02/2020,CHN,"China, Macao Special Administrative Region",Localized,17/02/2020,
18/02/2020,CHN,China,Localized,18/02/2020,
18/02/2020,CHN,"China, Hong Kong Special Administrative Region",Localized,18/02/2020,
18/02/2020,CHN,"China, Macao Special Administrative Region",Localized,18/02/2020,
19/02/2020,CHN,China,Localized,19/02/2020,
19/02/2020,CHN,"China, Hong Kong Special Administrative Region",Localized,19/02/2020,
19/02/2020,CHN,"China, Macao Special Administrative Region",Localized,19/02/2020,
19/02/2020,MNG,Mongolia,National,19/02/2020,
20/02/2020,CHN,China,Localized,20/02/2020,
20/02/2020,CHN,"China, Hong Kong Special Administrative Region",Localized,20/02/2020,
20/02/2020,CHN,"China, Macao Special Administrative Region",Localized,20/02/2020,
20/02/2020,MNG,Mongolia,National,20/02/2020,
21/02/2020,CHN,China,National,21/02/2020,
21/02/2020,CHN,"China, Hong Kong Special Administrative Region",Localized,21/02/2020,
21/02/2020,CHN,"China, Macao Special Administrative Region",Localized,21/02/2020,
21/02/2020,MNG,Mongolia,National,21/02/2020,
22/02/2020,CHN,China,National,22/02/2020,
22/02/2020,CHN,"China, Hong Kong Special Administrative Region",Localized,22/02/2020,
22/02/2020,CHN,"China, Macao Special Administrative Region",Localized,22/02/2020,
22/02/2020,MNG,Mongolia,National,22/02/2020,
23/02/2020,CHN,China,National,23/02/2020,
23/02/2020,CHN,"China, Hong Kong Special Administrative Region",Localized,23/02/2020,
23/02/2020,CHN,"China, Macao Special Administrative Region",Localized,23/02/2020,
23/02/2020,MNG,Mongolia,National,23/02/2020,
24/02/2020,CHN,China,National,24/02/2020,
24/02/2020,CHN,"China, Hong Kong Special Administrative Region",Localized,24/02/2020,
24/02/2020,CHN,"China, Macao Special Administrative Region",Localized,24/02/2020,
24/02/2020,ITA,Italy,Localized,24/02/2020,
24/02/2020,MNG,Mongolia,National,24/02/2020,
24/02/2020,SMR,San Marino,National,24/02/2020,
25/02/2020,CHN,China,National,25/02/2020,
25/02/2020,CHN,"China, Hong Kong Special Administrative Region",Localized,25/02/2020,
25/02/2020,CHN,"China, Macao Special Administrative Region",Localized,25/02/2020,
25/02/2020,ITA,Italy,Localized,25/02/2020,
25/02/2020,MNG,Mongolia,National,25/02/2020,
25/02/2020,SMR,San Marino,National,25/02/2020,
26/02/2020,BHR,Bahrain,National,26/02/2020,
26/02/2020,CHN,China,National,26/02/2020,
26/02/2020,CHN,"China, Hong Kong Special Administrative Region",Localized,26/02/2020,
26/02/2020,CHN,"China, Macao Special Administrative Region",Localized,26/02/2020,
26/02/2020,IRN,Iran (Islamic Republic of),National,26/02/2020,
26/02/2020,ITA,Italy,Localized,26/02/2020,
26/02/2020,MNG,Mongolia,National,26/02/2020,
26/02/2020,SMR,San Marino,National,26/02/2020,
27/02/2020,BHR,Bahrain,National,27/02/2020,
27/02/2020,CHN,China,National,27/02/2020,
27/02/2020,CHN,"China, Hong Kong Special Administrative Region",National,27/02/2020,
27/02/2020,CHN,"China, Macao Special Administrative Region",National,27/02/2020,
27/02/2020,IRN,Iran (Islamic Republic of),National,27/02/2020,
27/02/2020,ITA,Italy,Localized,27/02/2020,
27/02/2020,MNG,Mongolia,National,27/02/2020,
27/02/2020,PAK,Pakistan,Localized,27/02/2020,
27/02/2020,SMR,San Marino,National,27/02/2020,
28/02/2020,BHR,Bahrain,National,28/02/2020,
28/02/2020,CHN,China,National,28/02/2020,
28/02/2020,CHN,"China, Hong Kong Special Administrative Region",National,28/02/2020,
28/02/2020,CHN,"China, Macao Special Administrative Region",National,28/02/2020,
28/02/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Localized,28/02/2020,
28/02/2020,IRN,Iran (Islamic Republic of),National,28/02/2020,
28/02/2020,IRQ,Iraq,Localized,28/02/2020, Universities on term break. Closures not related to COVID-19. 
28/02/2020,ITA,Italy,Localized,28/02/2020,
28/02/2020,MNG,Mongolia,National,28/02/2020,
28/02/2020,PAK,Pakistan,Localized,28/02/2020,
28/02/2020,SMR,San Marino,National,28/02/2020,
28/02/2020,USA,United States of America,Localized,28/02/2020,
28/02/2020,VNM,Viet Nam,National,28/02/2020,"While all schools are closed, Grade 12 students are still attending classes, and universities have the choice to remain open. "
29/02/2020,BHR,Bahrain,National,29/02/2020,
29/02/2020,CHN,China,National,29/02/2020,
29/02/2020,CHN,"China, Hong Kong Special Administrative Region",National,29/02/2020,
29/02/2020,CHN,"China, Macao Special Administrative Region",National,29/02/2020,
29/02/2020,GBR,United Kingdom of Great Britain and Northern Ireland,Localized,29/02/2020,
29/02/2020,IRN,Iran (Islamic Republic of),National,29/02/2020,
29/02/2020,IRQ,Iraq,Localized,29/02/2020, Universities on term break. Closures not related to COVID-19. 
29/02/2020,ITA,Italy,Localized,29/02/2020,
29/02/2020,MNG,Mongolia,National,29/02/2020,
29/02/2020,PAK,Pakistan,Localized,29/02/2020,
29/02/2020,SMR,San Marino,National,29/02/2020,
29/02/2020,USA,United States of America,Localized,29/02/2020,
29/02/2020,VNM,Viet Nam,National,29/02/2020,"While all schools are closed, Grade 12 students are still attending classes, and universities have the choice to remain open. "
1/3/20,BHR,Bahrain,National,1/3/20,
1/3/20,CHN,China,National,1/3/20,
1/3/20,CHN,"China, Hong Kong Special Administrative Region",National,1/3/20,
1/3/20,CHN,"China, Macao Special Administrative Region",National,1/3/20,
1/3/20,GBR,United Kingdom of Great Britain and Northern Ireland,Localized,1/3/20,
1/3/20,IRN,Iran (Islamic Republic of),National,1/3/20,
1/3/20,IRQ,Iraq,Localized,1/3/20, Universities on term break. Closures not related to COVID-19. 
1/3/20,ITA,Italy,Localized,1/3/20,
1/3/20,KWT,Kuwait,National,1/3/20,
1/3/20,MNG,Mongolia,National,1/3/20,
1/3/20,PAK,Pakistan,Localized,1/3/20,
1/3/20,SMR,San Marino,National,1/3/20,
1/3/20,USA,United States of America,Localized,1/3/20,
1/3/20,VNM,Viet Nam,National,1/3/20,"While all schools are closed, Grade 12 students are still attending classes, and universities have the choice to remain open. "
2/3/20,ARM,Armenia,National,2/3/20,
2/3/20,BHR,Bahrain,National,2/3/20,
2/3/20,CHN,China,National,2/3/20,
2/3/20,CHN,"China, Hong Kong Special Administrative Region",National,2/3/20,
2/3/20,CHN,"China, Macao Special Administrative Region",National,2/3/20,
2/3/20,GBR,United Kingdom of Great Britain and Northern Ireland,Localized,2/3/20,
2/3/20,GEO,Georgia,National,2/3/20,
2/3/20,IRN,Iran (Islamic Republic of),National,2/3/20,
2/3/20,IRQ,Iraq,Localized,2/3/20, Universities on term break. Closures not related to COVID-19. 
2/3/20,ITA,Italy,Localized,2/3/20,
2/3/20,JPN,Japan,National,2/3/20,
