,MEASURE,Number of arrivals ,Median time in port (days) ,Average age of vessels,Average size (GT) of vessels,Average cargo carrying capacity (dwt) per vessel,Average container carrying capacity (TEU) per container ship,Maximum size (GT) of vessels,Maximum cargo carrying capacity (dwt) of vessels,Maximum container carrying capacity (TEU) of container ships
ECONOMY,COMM. MARKET,,,,,,,,,
World,All ships,4112944,0.97,18,15066,24210,3538,234006,441561,21413
World,Passenger ship,2227407,..,21,8928,..,..,228081,..,..
World,Wet bulk,494120,0.94,13,15543,27014,..,234006,441561,..
World,Container ship,454016,0.7,13,38520,..,3538,217673,..,21413
World,Dry breakbulk,430344,1.11,19,5438,7384,..,91784,138743,..
World,Dry bulk,259551,2.05,13,31940,57181,..,203483,404389,..
World,Roll-on/ roll-off ship,187532,..,17,25368,10232,..,100430,55828,..
World,Liquefied petroleum gas carriers,49357,1.02,14,10662,12046,..,58100,64220,..
World,Liquefied natural gas carriers,10617,1.11,10,93791,72964,..,168189,155159,..
Albania,All ships,2085,1.46,31,12773,7805,1063,42363,63057,2500
Albania,Passenger ship,1252,..,36,16937,..,..,42363,..,..
Albania,Wet bulk,85,1.85,11,16472,25611,..,26548,42000,..
Albania,Container ship,148,0.86,17,11198,..,1063,26435,..,2500
Albania,Dry breakbulk,482,2.03,29,3126,4247,..,17634,19366,..
Albania,Dry bulk,52,1.99,28,6122,9480,..,36396,63057,..
Albania,Roll-on/ roll-off ship,..,..,..,..,..,..,..,..,..
Albania,Liquefied petroleum gas carriers,66,0.9,11,8245,9541,..,20151,24232,..
Albania,Liquefied natural gas carriers,..,..,..,..,..,..,..,..,..
Algeria,All ships,5284,2.43,16,17177,25269,1148,162542,318130,2207
Algeria,Passenger ship,521,..,27,20824,..,..,47842,..,..
Algeria,Wet bulk,781,1.54,11,28061,48817,..,162542,318130,..
Algeria,Container ship,926,2.96,16,12145,..,1148,28397,..,2207
Algeria,Dry breakbulk,1721,2.5,16,7049,9409,..,33448,45474,..
Algeria,Dry bulk,645,6.85,10,24224,40365,..,70933,120499,..
Algeria,Roll-on/ roll-off ship,232,..,26,11703,6208,..,76420,27281,..
Algeria,Liquefied petroleum gas carriers,326,1.37,16,18995,22016,..,48419,55173,..
Algeria,Liquefied natural gas carriers,132,1.07,12,76426,60502,..,118363,94575,..
American Samoa,All ships,148,0.74,13,11242,9966,1216,18723,18091,1740
American Samoa,Passenger ship,..,..,..,..,..,..,..,..,..
American Samoa,Wet bulk,..,..,..,..,..,..,..,..,..
American Samoa,Container ship,87,0.99,11,13020,..,1216,18723,..,1740
American Samoa,Dry breakbulk,61,0.57,15,8708,9966,..,18100,18091,..
American Samoa,Dry bulk,..,..,..,..,..,..,..,..,..
American Samoa,Roll-on/ roll-off ship,..,..,..,..,..,..,..,..,..
American Samoa,Liquefied petroleum gas carriers,..,..,..,..,..,..,..,..,..
American Samoa,Liquefied natural gas carriers,..,..,..,..,..,..,..,..,..
Angola,All ships,1685,1.87,13,23579,25506,2994,114364,159513,8700
Angola,Passenger ship,..,..,..,..,..,..,..,..,..
Angola,Wet bulk,485,1.28,12,20072,34728,..,82870,159513,..
Angola,Container ship,435,1.79,16,32204,..,2994,94483,..,8700
Angola,Dry breakbulk,397,2.06,14,8157,10871,..,39377,64942,..
Angola,Dry bulk,53,8.56,10,24753,41116,..,41091,75200,..
Angola,Roll-on/ roll-off ship,60,..,11,57734,21887,..,77000,27965,..
Angola,Liquefied petroleum gas carriers,196,1.87,12,9525,10887,..,48772,58159,..
Angola,Liquefied natural gas carriers,59,1.36,7,103489,86400,..,114364,97730,..
Antigua and Barbuda,All ships,833,0.67,16,43526,10618,..,168666,52914,..
Antigua and Barbuda,Passenger ship,377,..,15,84583,..,..,168666,..,..
Antigua and Barbuda,Wet bulk,192,1.06,12,8474,13779,..,30285,52914,..
Antigua and Barbuda,Container ship,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,Dry breakbulk,171,0.38,18,6164,8026,..,20973,28341,..
Antigua and Barbuda,Dry bulk,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,Roll-on/ roll-off ship,93,..,21,18147,8860,..,62838,21550,..
Antigua and Barbuda,Liquefied petroleum gas carriers,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,Liquefied natural gas carriers,..,..,..,..,..,..,..,..,..
Argentina,All ships,12261,1.91,14,21073,35333,4531,137936,159233,11000
Argentina,Passenger ship,3529,..,21,8823,..,..,137936,..,..
Argentina,Wet bulk,3660,1.54,12,15414,25439,..,85496,159233,..
Argentina,Container ship,1104,1.46,10,49926,..,4531,118945,..,11000
Argentina,Dry breakbulk,776,1.18,23,8848,12188,..,44865,73296,..
Argentina,Dry bulk,2793,3.29,8,31790,55865,..,51265,93412,..
Argentina,Roll-on/ roll-off ship,277,..,14,46056,15840,..,76299,28092,..
Argentina,Liquefied petroleum gas carriers,67,1.75,8,24084,28475,..,48051,58811,..
Argentina,Liquefied natural gas carriers,55,1.52,8,103174,84119,..,133612,96889,..
Aruba,All ships,770,0.74,16,52061,39093,1336,166414,320142,2130
Aruba,Passenger ship,336,..,19,88734,..,..,155889,..,..
Aruba,Wet bulk,109,1.18,11,43783,79757,..,166414,320142,..
Aruba,Container ship,160,0.73,12,15334,..,1336,22914,..,2130
Aruba,Dry breakbulk,121,0.4,19,8942,11451,..,28805,45295,..
Aruba,Dry bulk,..,..,..,..,..,..,..,..,..
Aruba,Roll-on/ roll-off ship,44,..,12,44649,14372,..,65276,22675,..
Aruba,Liquefied petroleum gas carriers,..,..,..,..,..,..,..,..,..
Aruba,Liquefied natural gas carriers,..,..,..,..,..,..,..,..,..
Australia,All ships,62029,1.48,19,25949,78485,4361,168666,299688,8530
Australia,Passenger ship,32246,..,28,4682,..,..,168666,..,..
Australia,Wet bulk,3673,1.34,7,23943,40913,..,154182,299271,..
Australia,Container ship,4425,1.2,12,47387,..,4361,94483,..,8530
Australia,Dry breakbulk,2530,1.79,12,16537,23130,..,54651,88272,..
Australia,Dry bulk,14690,1.65,9,59510,111657,..,152305,299688,..
Australia,Roll-on/ roll-off ship,3052,..,14,40761,15442,..,77000,43878,..
Australia,Liquefied petroleum gas carriers,360,0.9,11,12252,14296,..,48963,58757,..
Australia,Liquefied natural gas carriers,1053,1.22,9,110313,84221,..,144978,121963,..
Austria,All ships,1653,..,17,2905,..,..,3542,..,..
Austria,Passenger ship,1653,..,17,2905,..,..,3542,..,..
Austria,Wet bulk,..,..,..,..,..,..,..,..,..
Austria,Container ship,..,..,..,..,..,..,..,..,..
Austria,Dry breakbulk,..,..,..,..,..,..,..,..,..
Austria,Dry bulk,..,..,..,..,..,..,..,..,..
Austria,Roll-on/ roll-off ship,..,..,..,..,..,..,..,..,..
Austria,Liquefied petroleum gas carriers,..,..,..,..,..,..,..,..,..
Austria,Liquefied natural gas carriers,..,..,..,..,..,..,..,..,..
Azerbaijan,All ships,2331,1.24,21,6241,7977,..,11450,13470,..
Azerbaijan,Passenger ship,596,..,29,7250,..,..,11450,..,..
Azerbaijan,Wet bulk,1107,1.18,17,6303,10027,..,7852,13470,..
Azerbaijan,Container ship,..,..,..,..,..,..,..,..,..
Azerbaijan,Dry breakbulk,406,3.04,27,3199,3735,..,6266,7728,..
Azerbaijan,Dry bulk,..,..,..,..,..,..,..,..,..
Azerbaijan,Roll-on/ roll-off ship,222,..,14,8786,5510,..,11450,6012,..
Azerbaijan,Liquefied petroleum gas carriers,..,..,..,..,..,..,..,..,..
Azerbaijan,Liquefied natural gas carriers,..,..,..,..,..,..,..,..,..
Bahamas,All ships,5787,0.83,21,54877,26429,4266,228081,318803,11568
Bahamas,Passenger ship,3326,..,20,74026,..,..,228081,..,..
Bahamas,Wet bulk,463,1.88,10,37828,67301,..,165511,318803,..
Bahamas,Container ship,958,0.8,18,47064,..,4266,113112,..,11568
Bahamas,Dry breakbulk,548,0.32,24,4070,5034,..,39771,46671,..
Bahamas,Dry bulk,93,1,27,24892,41616,..,46409,77548,..
Bahamas,Roll-on/ roll-off ship,399,..,37,10566,4844,..,72269,26000,..
Bahamas,Liquefied petroleum gas carriers,..,..,..,..,..,..,..,..,..
Bahamas,Liquefied natural gas carriers,..,..,..,..,..,..,..,..,..
Bahrain,All ships,1748,1.84,14,37207,47710,4190,164292,320041,14568
Bahrain,Passenger ship,28,..,8,80951,..,..,137936,..,..
Bahrain,Wet bulk,475,1.85,10,33201,57737,..,164292,320041,..
Bahrain,Container ship,322,0.72,12,45445,..,4190,154300,..,14568
Bahrain,Dry breakbulk,323,2.03,29,7285,11207,..,44387,80500,..
Bahrain,Dry bulk,378,3.13,9,45105,81937,..,94817,182618,..
Bahrain,Roll-on/ roll-off ship,211,..,10,59704,20203,..,77000,28360,..
Bahrain,Liquefied petroleum gas carriers,11,2.3,6,33317,38113,..,47985,55066,..
Bahrain,Liquefied natural gas carriers,..,..,..,..,..,..,..,..,..
Bangladesh,All ships,2611,2.99,12,17453,24247,1665,94511,148018,8566
Bangladesh,Passenger ship,..,..,..,..,..,..,..,..,..
Bangladesh,Wet bulk,384,2.03,15,18109,29057,..,80637,148018,..
Bangladesh,Container ship,1338,2.97,12,18306,..,1665,94511,..,8566
Bangladesh,Dry breakbulk,475,3.11,10,10378,13945,..,25769,37898,..
Bangladesh,Dry bulk,294,5.77,12,24219,41210,..,51225,93281,..
Bangladesh,Roll-on/ roll-off ship,56,..,14,30164,10038,..,39454,12588,..
Bangladesh,Liquefied petroleum gas carriers,64,1.05,16,5991,6359,..,25600,28104,..
Bangladesh,Liquefied natural gas carriers,..,..,..,..,..,..,..,..,..
Barbados,All ships,1149,0.56,16,34633,10721,1120,168666,45252,2339
Barbados,Passenger ship,445,..,18,73558,..,..,168666,..,..
Barbados,Wet bulk,145,1.08,12,7270,11464,..,24996,43158,..
Barbados,Container ship,179,0.51,11,11450,..,1120,27279,..,2339
Barbados,Dry breakbulk,328,0.54,19,8425,10363,..,28805,45252,..
Barbados,Dry bulk,17,0.94,18,9790,14195,..,25769,39260,..
Barbados,Roll-on/ roll-off ship,35,..,15,29321,9313,..,62838,21550,..
Barbados,Liquefied petroleum gas carriers,..,..,..,..,..,..,..,..,..
Barbados,Liquefied natural gas carriers,..,..,..,..,..,..,..,..,..
Belgium,All ships,32377,1.27,15,21127,12517,4882,217673,180960,21237
Belgium,Passenger ship,566,..,25,45462,..,..,155889,..,..
Belgium,Wet bulk,11237,1.3,15,7070,11946,..,85496,164758,..
Belgium,Container ship,5034,1.02,12,53883,..,4882,217673,..,21237
