country,tests,testpop,density,urbanpop,quarantine,schools,restrictions,hospibed,medianage,gdp2018,crime_index,population2020,smoking2016,females2018
Albania,NA,NA,105,63,,,,2.9,32.9,15102500898,40.02,2877.797,28.7,49.0630946
Algeria,NA,NA,18,73,,,,1.9,28.1,1.73758E+11,54.41,43851.044,15.6,49.48426788
Argentina,NA,NA,17,93,3/20/20,,,5,31.7,5.19872E+11,62.96,45195.774,21.8,51.23734845
Armenia,694,4269.802594,104,63,,,,4.2,35.1,12433089919,20.78,2963.243,24.1,52.95657715
Australia,31635,806.0655603,3,86,,,3/23/20,3.8,38.7,1.4339E+12,42.7,25499.884,14.7,50.19962324
Austria,10278,876.2792372,109,57,3/16/20,,,7.6,44,4.55286E+11,23.23,9006.398,29.6,50.82942665
Azerbaijan,NA,NA,123,56,,,,4.7,31.3,46939529412,32.68,10139.177,20.8,50.1157491
Bahrain,13553,125.5496938,2239,89,,,,6.8,32.3,37746196809,29.18,1701.575,26.4,36.34825161
Bangladesh,NA,NA,1265,39,,,,0.8,26.7,2.74025E+11,64.98,164689.383,23,49.38729667
Belarus,16000,590.5826875,47,79,,,,11,40,59662495092,24.8,9449.323,26.7,53.45605422
Belgium,4225,2743.106036,383,98,3/18/20,,,6.2,41.4,5.42761E+11,42.5,11589.623,28.2,50.59331939
Bosnia and Herzegovina,NA,NA,64,52,,,,3.5,42.1,20161865419,43.57,3280.819,38.9,51.01053603
Brazil,2927,72620.23129,25,88,,,,2.2,32,1.86863E+12,69.48,212559.417,13.9,50.82991676
Bulgaria,NA,NA,64,76,,,,6.8,42.7,65132951116,39.31,6948.445,37,51.41408841
Cambodia,NA,NA,95,24,,,,0.8,25.3,24542474061,51.8,16718.965,17.2,51.19798127
Canada,76964,490.3871161,4,81,,3/15/20,3/20/20,2.7,42.2,1.71334E+12,39.48,37742.154,14.3,50.39152995
Chile,NA,NA,26,85,,,,2.2,34.4,2.98231E+11,47.12,19116.201,37.8,50.72703184
China,320000,4497.8868,153,61,1/24/20,,,4.2,37.4,1.36082E+13,36.7,1439323.776,25.6,48.67937396
Colombia,2571,19791.08946,46,80,3/25/20,,,1.5,30,3.31047E+11,52.54,50882.891,9,50.9257717
Costa Rica,NA,NA,100,80,,,,1.2,31.3,60130106116,55.77,5094.118,11.9,50.0098511
Croatia,1159,3542.07679,73,58,,,,5.6,43,60971699315,24.23,4105.267,37,51.85262175
Cuba,NA,NA,106,78,,,,5.2,41.5,1.00E+11,27.62,11326.616,35.2,50.33284983
Cyprus,NA,NA,131,67,,,,3.4,36.8,24961988663,29.62,1207.359,36.4,49.9710745
Czech Republic,6302,1699.298794,139,74,,3/13/20,3/13/20,6.5,42.1,2.45226E+11,25.99,10708.981,34.3,50.80858893
Denmark,7620,760.1314961,137,88,3/16/20,,,2.5,42.2,3.55675E+11,24.72,5792.202,19.1,50.27420273
